[28/01/2020 13:18:35] INFO 	[main]		[myfs.c:42]		1
[28/01/2020 13:18:35] INFO 	[viewDisk]		[myfs.c:229]		Disk Manager Data File Exists
[28/01/2020 13:18:35] WARN 	[checkFile]		[myfs.c:358]		File with Filename 'test.txt' already exists.
[28/01/2020 13:19:33] INFO 	[viewDisk]		[myfs.c:229]		Disk Manager Data File Exists
[28/01/2020 13:19:33] WARN 	[checkFile]		[myfs.c:358]		File with Filename 'test.txt' already exists.
[28/01/2020 13:30:10] INFO 	[viewDisk]		[myfs.c:277]		Disk Manager Data File Exists
[28/01/2020 13:30:10] WARN 	[checkFile]		[myfs.c:406]		File with Filename 'test.txt' already exists.
[28/01/2020 13:34:33] INFO 	[viewDisk]		[myfs.c:283]		Disk Manager Data File Exists
[28/01/2020 13:34:33] WARN 	[checkFile]		[myfs.c:412]		File with Filename 'test.txt' already exists.
[28/01/2020 13:34:53] INFO 	[generateNextBlock]		[myfs.c:137]		BLOCK2 Directory Generated
[28/01/2020 13:34:53] INFO 	[deleteEmptyBlocks]		[myfs.c:183]		BLOCK2 Deleted from DISK
[28/01/2020 13:34:53] INFO 	[viewDisk]		[myfs.c:285]		Disk Manager Data File Exists
[28/01/2020 13:34:53] WARN 	[checkFile]		[myfs.c:414]		File with Filename 'test.txt' already exists.
[28/01/2020 13:35:50] INFO 	[generateNextBlock]		[myfs.c:137]		BLOCK2 Directory Generated
[28/01/2020 13:35:50] INFO 	[deleteEmptyBlocks]		[myfs.c:183]		BLOCK2 Deleted from DISK
[28/01/2020 13:35:50] INFO 	[viewDisk]		[myfs.c:285]		Disk Manager Data File Exists
[28/01/2020 13:35:50] WARN 	[checkFile]		[myfs.c:414]		File with Filename 'test.txt' already exists.
[28/01/2020 13:36:01] INFO 	[generateNextBlock]		[myfs.c:137]		BLOCK2 Directory Generated
[28/01/2020 13:36:01] INFO 	[viewDisk]		[myfs.c:285]		Disk Manager Data File Exists
[28/01/2020 13:36:01] WARN 	[checkFile]		[myfs.c:414]		File with Filename 'test.txt' already exists.
[28/01/2020 13:36:08] INFO 	[generateNextBlock]		[myfs.c:137]		BLOCK3 Directory Generated
[28/01/2020 13:36:08] INFO 	[deleteEmptyBlocks]		[myfs.c:183]		BLOCK2 Deleted from DISK
